Code,OI/LO/KUSP,,,
OI.7.GQ.12.LO.12.U.1.SP.1,Describe favourable outcomes for a given event.,,,
OI.7.GQ.12.LO.12.U.1.SP.2,Describe one outcome as more or less likely than another outcome.,,,
OI.7.GQ.12.LO.12.U.1.SP.3,Describe situations where not all events are equally likely.,,,
OI.7.GQ.12.LO.12.U.1.SP.4,Explain certain and impossible events.,,,
OI.7.GQ.12.LO.12.U.2,"Over a large number of trials, experimental probability models theoretical probability.",,,
OI.7.GQ.12.LO.12.U.2.K.1,Theoretical probability is the likelihood of an event occurring under ideal conditions.,,,
OI.7.GQ.12.LO.12.U.2.K.2,"If all outcomes are equally likely, the theoretical probability is the ratio of the number of favourable outcomes to the total number of outcomes.",,,
OI.7.GQ.12.LO.12.U.2.K.3,Experimental probability is determined by using data collected from repeated trials of an experiment.,,,
OI.7.GQ.12.LO.12.U.2.K.4,Experimental probability compares the number of favourable outcomes to the total number of trials of an experiment.,,,
OI.7.GQ.12.LO.12.U.2.K.5,Sample space is the list of all possible outcomes for a situation or an experiment and does not include the frequency of each outcome.,,,
OI.7.GQ.12.LO.12.U.2.K.6,The sum of the probabilities within a sample space is 1.,,,
OI.7.GQ.12.LO.12.U.2.K.7,"A situation can be simulated if it has the same number of possible outcomes and each outcome occurs with the same probability, e.g., within a sample space, a coin has two equally likely outcomes and a die has six.",,,
OI.7.GQ.12.LO.12.U.2.K.8,"Probability can be expressed in various ways, including
- ratio
- fraction
- decimal
- percentage",,,
OI.7.GQ.12.LO.12.U.2.K.9,"In an experiment, the outcome of any trial is unknown before it occurs, except for certain and impossible events.",,,
OI.7.GQ.12.LO.12.U.2.K.10,Repeated trials of an experiment have no influence on each other.,,,
OI.7.GQ.12.LO.12.U.2.K.11,"Probability can inform decision making in various situations, such as games and weather forecasts.",,,
OI.7.GQ.12.LO.12.U.2.SP.1,"Express, in various ways, the theoretical probability for each of the possible outcomes in a situation.",,,
OI.7.GQ.12.LO.12.U.2.SP.2,"Predict the experimental probability of an event, using theoretical probability.",,,
OI.7.GQ.12.LO.12.U.2.SP.3,Collect data from multiple trials of an experiment with equally likely outcomes.,,,
OI.7.GQ.12.LO.12.U.2.SP.4,Simulate situations by generating a sample space.,,,
OI.7.GQ.12.LO.12.U.2.SP.5,Determine the experimental probability of an event.,,,
OI.7.GQ.12.LO.12.U.2.SP.6,Compare the experimental probability to the theoretical probability for a given event.,,,
OI.7.GQ.12.LO.12.U.2.SP.7,Relate probability to decision making in various situations.,,,
