Code,OI/LO/KUSP,Unit 1,Unit 2,Unit 3,Unit 4,Unit 5,Selected?,,,,
OI.1.GQ.1.LO.1.U.1.SP.6,Compare benefits gained to challenges lost in the acquisition of Rupert’s Land.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1.LO.1.U.1.SP.7,Explore the positions and interests of the Fathers of Confederation.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1.LO.1.U.1.SP.8,Explain the effects of expansion of the Dominion of Canada west on the Métis.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1.LO.1.U.1.SP.9,Explain the effects of expansion of the Dominion of Canada west on First Nations.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1.LO.1.U.1.SP.10,Identify 11 numbered treaty areas in Canada on a map.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1.LO.1.U.1.SP.11,Analyze the causes and consequences of western settlement in the Dominion of Canada.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1.LO.1.U.1.SP.12,Research stories of western settlement in the Dominion of Canada related to the role and treatment of new immigrants.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.1.LO.1.U.1.SP.13,Analyze the impacts of Sir John A. Macdonald’s National Policy.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2,How can defence of peace and security play a role in the development of a nation?,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
OI.1.GQ.2.LO.2,Students relate the development of armed forces in Canada to sovereignty,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1,Development of armed forces can advance national sovereignty.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.K.1,"Armed forces, including national police forces and military forces, support peace and security in Canada and around the world.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.K.2,"The North-West Mounted Police, or NWMP, was established (1873) to enforce laws and defend territory as the Dominion of Canada expanded west.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.K.3,"National police forces in Canada evolved into the Royal Canadian Mounted Police, or RCMP, that oversees national security across Canada today.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.K.4,"The early development of Canada’s military forces was supported by
- policy, e.g., the Militia Acts of 1855 and 1904
- increased independence, e.g., withdrawal of the British Army (1871) and establishment of the Royal Canadian Navy (1910)
- increased participation in international conflict, including participation in the Boer War (1899–1902, specifically the Battle of Paardeberg)",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.K.5,"During the First World War, Britain had control of Canada’s foreign affairs and sent Canadian military forces (Canadian Expeditionary Force and Canadian Corps) to fight as distinct units for the first time.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.K.6,"Canadian military forces made significant contributions to the First World War, including accomplishments on the battlefields of
- Vimy Ridge
- Beaumont-Hamel
- Ypres (Second Battle and Passchendaele)
- Gallipoli",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.K.7,"Canada’s diverse communities contributed to Canada’s war effort in the First World War, for example,
- Black Canadians in the No. 2 Construction Battalion
- Indigenous soldiers
- Sikh Canadian soldiers
- Francophone soldiers in the Royal 22e Régiment",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.K.8,"The sacrifices and heroism of the Canadian military forces who fought and died in the First World War are honoured through commemorative days, including Remembrance Day and Indigenous Veterans Day, and war memorials, such as the Canadian National War Memorial and the Newfoundland National War Memorial.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.K.9,"Through the Statute of Westminster (1931), Canada was granted control of its foreign affairs, including freedom to make decisions related to participation in international alliances and involvement in conflicts.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.SP.1,Examine the evolution of national police forces in Canada after Confederation.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.SP.2,Examine the evolution of Canada’s military forces after Confederation.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.SP.3,Determine how Canada’s military changed after Confederation.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.SP.4,Identify steps taken for Canada to begin developing a modern Canadian Armed Forces.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.SP.5,Discuss the significance of Canada’s role in the Boer War.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.SP.6,Examine the participation of Canadian military forces in the First World War.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.SP.7,Discuss ways of honouring sacrifices of Canadian military forces.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.SP.8,Research stories about heroic and gallant acts carried out by Canadian military forces.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.SP.9,Explain the role of the Statute of Westminster in Canada’s sovereignty.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.1.GQ.2.LO.2.U.1.SP.10,Identify war memorials in the local community.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
